品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
オルタネーター,A007TA1174R,スズキオルタ (G) 12/55,ｽｽﾞｷ,CT21S,ﾜｺﾞﾝR,3140073G11,50028688,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,101211-264R,オルタネ-タ (G) I.C 12/55,ｽｽﾞｷ,M-DA71V,ｷｬﾘｨ･ｴﾌﾞﾘｨ,3140073G20,,,,,,16400,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-592R,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,HA23V,ｱﾙﾄ,3140073H01,50028691,,,,,10900,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,104211-215R,オルタネーター (G) I.C 12/70,ｽｽﾞｷ,HA36S,ｱﾙﾄ,3140074P00,50028692,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,104211-368R,オルタネーター (G) I.C 12/120,ｽｽﾞｷ,HA36S,ｱﾙﾄ,3140074P10,50028694,,,,,24600,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,100211-902R,スズキオルタ(G) I.C 12/50,ｽｽﾞｷ,M-DA41T,ｷｬﾘｰ,3140075D10,50028697,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-517R,オルタネーター(G)　IC 12/60,ｽｽﾞｷ,MA61S,ﾜｺﾞﾝR･ﾜｲﾄﾞ,3140075F00,,,,,,16400,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-576R,オルタネ-タ (G) I.C 12/60,ｽｽﾞｷ,MC22S,ﾜｺﾞﾝR,3140075F02,50028698,,,,,11100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA2591R,スズキオルタネーター(G) I.C 12/70,ｽｽﾞｷ,E-JB31W,ｼﾞﾑﾆｰ,3140076A00,50028699,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA3491AR,スズキオルタネーター(G) IC 12/70,ｽｽﾞｷ,E-AB33S,ｴﾌﾞﾘｨﾗﾝﾃﾞｨ,3140076A21,50028700,,,,,23500,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
