品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）
コンプレッサー,506041-0120R-DK-G,ゼクセルコンプレッサー DCS17EC,日産,NT31,ｴｸｽﾄﾚｲﾙ,92600-EN22A,92600-EN22A,,,,30000,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506041-0120R-DK,ゼクセルコンプレッサー DCS17EC,日産,NT31,ｴｸｽﾄﾚｲﾙ,92600-EN22A,92600-EN22A,,,,32300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,0
コンプレッサー,506041-0120R-F,ゼクセルコンプレッサー(DCS17EC),日産,DBA-NT31,ｴｸｽﾄﾚｲﾙ,92600-EN22A,92600-EN22A,,,,32300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506041-0160R-S,ゼクセルコンプレッサー（DCS17EC）,日産,GY50,ﾌｰｶﾞ,92600-EH00C,92600-EH00C,,,,32300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506041-0152R-V,ゼクセルコンプ DCS17EC #815505 VNCP505R,日産,PY50,ﾌｰｶﾞ,92600-EG000,92600-EG000,,,,31300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506041-0152R-S,ゼクセルコンプレッサー(DCS17EC),日産,PY50,ﾌｰｶﾞ,92600-EG000,92600-EG000,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7362R-S,ヴァレオコンプレッサー (DKV08R),日産,SC11・E11,ﾃｨｰﾀﾞ・ﾉｰﾄ,92600-ED07B,92600-ED07B,,,,24500,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7360R-W,ヴァレオコンプレッサー (DKV08R),日産,SC11・E11,ﾃｨｰﾀﾞ・ﾉｰﾄ,92600-ED07A,92600-ED07A,,,,27300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7360R-O,ヴァレオコンプレッサー (DKV08R),日産,SC11・E11,ﾃｨｰﾀﾞ・ﾉｰﾄ,92600-ED07A,92600-ED07A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7360R-M,ヴァレオコンプレッサー (DKV08R),日産,SC11・E11,ﾃｨｰﾀﾞ・ﾉｰﾄ,92600-ED07A,92600-ED07A,,,,29300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,0
コンプレッサー,506021-7360R-H1,ヴァレオコンプレッサー (DKV08R),日産,SC11・E11,ﾃｨｰﾀﾞ・ﾉｰﾄ,92600-ED07A,92600-ED07A,,,,27300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,0
コンプレッサー,506021-7350R-T,ゼクセルコンプレッサー DKV08R,日産,JC11,ﾃｨｰﾀﾞ,92600-ED06A,92600-ED06A,,,,27300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7350R-S,ゼクセルコンプレッサー(DKV08R),日産,JC11,ﾃｨｰﾀﾞ,92600-ED06A,92600-ED06A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506041-0181R-S,ゼクセルコンプレッサー（DCS141C）,ｽｽﾞｷ,TD54W,ｴｽｸｰﾄﾞ,92600-CY71A,92600-CY71A,,,,32300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506041-0210R-T,ゼクセルコンプレッサー DCS17EC,日産,NC25,ｾﾚﾅ,92600-CY000,92600-CY000,,,,27000,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,0
コンプレッサー,506041-0210R-DK-G,ゼクセルコンプレッサー DCS17EC,日産,C25,ｾﾚﾅ,92600-CY000,92600-CY000,,,,31300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-0800R-S,ゼクセルコンプレッサー(DKS17D),日産,PU31,ﾌﾟﾚｻｰｼﾞｭ,92600-CN100,92600-CN100,,,,28100,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-0790R-S,ゼクセルコンプレッサー(DKS17D),日産,TU31,ﾌﾟﾚｻｰｼﾞｭ,92600-CN000,92600-CN000,,,,26300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CJ75DR-W,カルソニックコンプレッサー(CR10),日産,M20,NV200,92600-CJ75A,92600-CJ75A,,,,29300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CJ73AR-W,カルソニックコンプレッサー(CR10),日産,Y12,AD,92600-CJ73E,92600-CJ73E,,MQ705806,MQ705808,28300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,0
コンプレッサー,92600-CJ73AR-S,カルソニックコンプレッサー(CR10),日産,VY12,AD,92600-CJ73A,92600-CJ73A,,MQ713341,MQ713342,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CJ70AR-S,カルソニックコンプレッサー(CR10),日産,VY12,AD,92600-CJ70A,92600-CJ70A,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CJ60AR-S,カルソニックコンプレッサー(CR10),日産,JY12,ｳｨﾝｸﾞﾛｰﾄﾞ,92600-CJ60A,92600-CJ60A,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AR400R-S,カルソニックコンプレッサー(CWE618),日産,HF50,ｼｰﾏ,92600-CD10B,92600-CD10B,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CD100R-S,カルソニックコンプレッサー (CWV615M),日産,CBA-HZ33,ﾌｪｱﾚﾃﾞｨZ,92600-CD100,92600-CD100,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-CD000R-S,カルソニックコンプレッサー(CWV615M),日産,UA-Z33,ﾌｪｱﾚﾃﾞｨZ,92600-CD000,92600-CD000,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506012-0520R-S,ゼクセルコンプレッサー(DKS17D),日産,PNZ50,ﾑﾗｰﾉ,92600-CA01C,92600-CA01C,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7340R-O,ゼクセルコンプレッサー(DKV08R),日産,BNZ11,ｷｭｰﾌﾞ,92600-AX020,92600-AX020,,1N4261K00,1N18611L1,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-7340R-S,ゼクセルコンプレッサー(DKV08R),日産,BNZ11,ｷｭｰﾌﾞ,92600-AX020,92600-AX020,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-6520R-S,ゼクセルコンプレッサー(DKV08R),日産,BZ11,ｷｭｰﾌﾞ,92600-AX010,92600-AX010,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AU010R-S,カルソニックコンプレッサー V6,日産,NT30,ｴｸｽﾄﾚｲﾙ,92600-AU010,92600-AU010,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AS520R-S,カルソニックコンプレッサー(V6),日産,CBA-GF50,ｼｰﾏ,92600-AS520,92600-AS520,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AR000R-S,カルソニックコンプレッサー(V6),日産,TA-GF50,ｼｰﾏ,92600-AR000,92600-AR000,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-6250R-S,ゼクセルコンプレッサー(DKV11G),日産,AZ10,ｷｭｰﾌﾞ,92600-AN015,92600-AN015,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-5480R-S,ゼクセルコンプレッサー(DKV11G),日産,AZ10,ｷｭｰﾌﾞ,92600-AN001,92600-AN001,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,92600-AM800R-S,カルソニックコンプレッサー(V6),日産,CBA-CPV35,ｽｶｲﾗｲﾝ,92600-AM800,92600-AM800,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AL000R-S,カルソニックコンプレッサー(V6),日産,GH-HV35,ｽｶｲﾗｲﾝ,92600-AL000,92600-AL000,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AG500R-S,カルソニックコンプレッサー(V6),日産,GF-ENY34,ｸﾞﾛﾘｱ,92600-AG500,92600-AG500,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-AG000R-S,カルソニックコンプレッサー(V6),日産,GH-HY34,ｸﾞﾛﾘｱ,92600-AG000,92600-AG000,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-0230R-S,ゼクセルコンプレッサー(DKS17CH),日産,TC24,ｾﾚﾅ,92600-AE100,92600-AE100,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506031-0980R-S,ゼクセルコンプレッサー(DWV618),日産,HU30,ﾌﾟﾚｻｰｼﾞｭ,92600-AD110,92600-AD110,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-9270R-S,ゼクセルコンプレッサー(DKS17CH),日産,JNU30,ﾊﾞｻﾗ,92600-AD010,92600-AD010,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506021-5660R-S,ゼクセルコンプレッサー　DKV14G,日産,BNR34,ｽｶｲﾗｲﾝ,92600-AA301,92600-AA301,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506021-5640R-S,ゼクセルコンプレッサー　DKV14G,日産,ER34,ｽｶｲﾗｲﾝ,92600-AA004,92600-AA004,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-4720R-S,ゼクセルコンプレッサー　DKV14G,日産,ER34,ｽｶｲﾗｲﾝ,92600-AA000,92600-AA000,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-0360R-S,ゼクセルコンプレッサー(DKS17D),日産,TZ50,ﾑﾗｰﾉ,92600-9Y60A,92600-9Y60A,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506012-0720R-F,ゼクセルコンプレッサー(DKS17D),日産,J31,ﾃｨｱﾅ,92600-9Y40A,92600-9Y40A,,,,26300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-91L00R-S,カルソニックコンプレッサー(V5-15B),日産,E-A31,ｾﾌｨｰﾛ,92600-91L08,92600-91L08,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-6820R-S,ゼクセルコンプレッサー(DKV08R),日産,FB15,ｻﾆｰ,92600-8N200,92600-8N200,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-6830R-S,ゼクセルコンプレッサー(DKV08R),日産,B15,ｻﾆｰ,92600-8N000,92600-8N000,,1N4761K00,1N15611L1,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-3410R-S,ゼクセルコンプレッサー(DKV14C),日産,RPS13,180SX,92600-80F16,92600-80F16,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,サービスバルブは現車の物を付け替えて使用ください。,,1
コンプレッサー,506021-2570R-S,ゼクセルコンプレッサー(DKV11D),ｽﾊﾞﾙ,KV4,ｻﾝﾊﾞｰ,92600-80F15,92600-80F15,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-0010R-S,ゼクセルコンプレッサー(DKV14C),日産,FB12,ｻﾆｰ,92600-77A02,92600-77A02,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-6P310R-S,カルソニックコンプレッサー(V6),日産,GF-FGDY33,ｼｰﾏ,92600-6P311,92600-6P311,,,,29300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,92600-6P303R-S,カルソニックコンプレッサー(V6),日産,FGY33,ｼｰﾏ,92600-6P303,92600-6P303,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,CR926-6N21A,カルソニック コンプレッサ-,日産,NT30,ｴｸｽﾄﾚｲﾙ,92600-6N210,92600-6N210,,,,30300,2年4万km保証,メーカーリビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-68U00R-S,カルソニックコンプレッサー(V6),日産,E-G50-AE,ｲﾝﾌｨﾆﾃｨQ45,92600-68U01,92600-68U01,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-3960R-S,ゼクセルコンプレッサー(DKV11D),日産,K11,ﾏｰﾁ,92600-67B18,92600-67B18,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506031-0253R-S,ゼクセルコンプレッサー(DCW17B),日産,JHG50,ﾌﾟﾚｼﾞﾃﾞﾝﾄ,92600-66U02,92600-66U02,,,,47000,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-65J00R-S,カルソニックコンプレッサー(V5-15B),日産,E-ENU12,ﾌﾞﾙ-ﾊﾞ-ﾄﾞ,92600-65J00,92600-65J00,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-3910R-S,ゼクセルコンプレッサー(DKV11D),日産,VFY10,AD,92600-64R05,92600-64R05,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-7650R-S,ゼクセルコンプレッサー(DKS17CH),日産,VPGE24,ｷｬﾗﾊﾞﾝ,92600-64N00,92600-64N00,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,92600-5TA0BR-S2,コンプレッサー (R),日産,C27,ｾﾚﾅ,92600-5TA0B,92600-5TA0B,,,,33500,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,社外リビルト品,,1
コンプレッサー,92600-5TA0BR-M-SS,＜社外新品＞コンプレッサ-,日産,C27,ｾﾚﾅ,92600-5TA0B,92600-5TA0B,,,,35000,2年4万km保証,社外新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-7532R-S,ゼクセルコンプレッサー(DKS17CH),日産,VWMGE24,ｷｬﾗﾊﾞﾝ,92600-59N00,92600-59N00,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-0430R-S,ゼクセルコンプレッサー(DKV14D),日産,PR10,ﾌﾟﾚｾｱ,92600-58Y01,92600-58Y01,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-7520R-S,ゼクセルコンプレッサー(DKS17CH),日産,CWGE24,ｷｬﾗﾊﾞﾝ,92600-58N00,92600-58N00,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-0820R-S,ゼクセルコンプレッサー(DKV14C),日産,KEN13,エクサ,92600-58A06,92600-58A06,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506031-0200R-S,ゼクセルコンプレッサー(DCW17B),日産,PS13,ｼﾙﾋﾞｱ,92600-52F02,92600-52F02,,,,47000,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,希少コアのためコア返却は早めでお願いします,,1
コンプレッサー,506031-0190R-S,ゼクセルコンプレッサー(DCW17B),日産,KPS13,ｼﾙﾋﾞｱ,92600-52F02,92600-52F02,,,,47000,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506021-2420R-S,ゼクセルコンプレッサー(DKV11D),日産,VFNY10,AD,92600-50Y61,92600-50Y61,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-0420R-S,ゼクセルコンプレッサー(DKV14D),日産,FB13,ｻﾆｰ,92600-50Y01,92600-50Y01,,,,23300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,92600-4P110R-S,カルソニックコンプレッサー(V6),日産,E-HBY33,ｸﾞﾛﾘｱ,92600-4P110,92600-4P110,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-4P102R-S,カルソニックコンプレッサー(V6),日産,E-JHBY33,ﾚﾊﾟｰﾄﾞ,92600-4P103,92600-4P103,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-4P002R-S,カルソニックコンプレッサー(CWV618),日産,E-JY33,ﾚﾊﾟ-ﾄﾞ,92600-4P003,92600-4P003,,,,27100,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-9280R-S,ゼクセルコンプレッサー(DKS17CH),日産,VNC24,ｾﾚﾅ,92600-4N100,92600-4N100,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-9110R-S,ゼクセルコンプレッサー(DKS17CH),日産,PC24,ｾﾚﾅ,92600-4N000,92600-4N000,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-5400R-S,ゼクセルコンプレッサー(DKV11G),日産,FB15,ｻﾆｰ,92600-4M410,92600-4M410,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-5160R-S,ゼクセルコンプレッサー(DKV11G),日産,FB15,ｻﾆｰ,92600-4M400,92600-4M400,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-4H501R-S,カルソニックコンプレッサー(V6),日産,GF-JG50,ﾌﾟﾚｼﾞﾃﾞﾝﾄ,92600-4H501,92600-4H501,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,92600-4E102R-S,カルソニックコンプレッサー(CR14),日産,E-FHP10,ﾌﾟﾘﾒｰﾗ,92600-4E101,92600-4E101,,,,26300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-4CE1AR-F,コンプレッサー 6SBH14C,日産,T32,ｴｸｽﾄﾚｲﾙ,92600-4CE1A,92600-4CE1A,,,,36000,2年2万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-7500R-S,ゼクセルコンプレッサー(DKS17CH),ﾄﾖﾀ,W30,MRS,92600-4C501,92600-4C501,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-4700R-S,ゼクセルコンプレッサー(DKS16H),日産,GZ32,ﾌｪｱﾚﾃﾞｨZ,92600-48P01,92600-48P01,,,,34300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-4450R-S,ゼクセルコンプレッサー(DKS16H),日産,Z32,ﾌｪｱﾚﾃﾞｨZ,92600-40P10,92600-40P10,,,,34300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,クラッチ配線のカプラーは現車の物をご使用下さい。,,1
コンプレッサー,MJS170-6FBR-S,カルソニックコンプレッサー,日産,GZ32,ﾌｪｱﾚﾃﾞｨZ,92600-40P01,92600-40P01,,,,38300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XC0AR-S-G,ゼクセルコンプレッサー(DKV17D),日産,VW6E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,,,32300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XC0AR-S,ヴァレオコンプレッサー (DKS17D),日産,VW6E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,コア返却必要です,1
コンプレッサー,92600-3XC0AR-M,ヴァレオコンプレッサー (DKS17D),日産,VW6E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,,,32300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XC0AR,ヴァレオコンプレッサー (DKS-17D) 12V,日産,VW2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,5861522860,5861522880,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XC0AR-V,ヴァレオコンプレッサー (DKS17D),日産,VW2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,,,32300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,0
コンプレッサー,92600-3XC0AR-F,ヴァレオコンプレッサー (DKS17D),日産,VW2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XC0A,92600-3XC0A,,,,33300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR-S,ヴァレオコンプレッサー (DKS17D),日産,VR2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR-F,ヴァレオコンプレッサー (DKS17D),日産,VR2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,33300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR-V,ヴァレオコンプレッサー (DKS17D),日産,KS2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,31300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR-S-G,ヴァレオコンプレッサー (DKS17D),日産,KS2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,32300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR-M,ゼクセルコンプレッサー（DKV17D),日産,KS2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,31300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3XA0AR,ヴァレオコンプレッサー (DKS-17D) 12V,日産,KS2E26,NV350ｷｬﾗﾊﾞﾝ,92600-3XA0A,92600-3XA0A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3TA5DR-S-G,ヴァレオ コンプレッサー VCS14EC Z0018488D,日産,L33,ﾃｨｱﾅ,92600-3TA5D,92600-3TA5D,,,,38100,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3TA5DR-S,ヴァレオ コンプレッサー VCS14EC Z0018488D,日産,L33,ﾃｨｱﾅ,92600-3TA5D,92600-3TA5D,,,,38100,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3TA5DR-F,ヴァレオコンプレッサー,日産,L33,ﾃｨｱﾅ,92600-3TA5D,92600-3TA5D,,,,38100,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3RS5AR-S,コンプレッサー,日産,TB17,ｼﾙﾌｨ,92600-3RS5A,92600-3RS5A,,,,28300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,92600-3RS5AR-F,ヴァレオコンプレッサー,日産,TB17,ｼﾙﾌｨ,92600-3RS5A,92600-3RS5A,,,,30300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506031-0030R-S,ゼクセルコンプレッサー(DCW17B),日産,KS13,ｼﾙﾋﾞｱ,92600-35F05,92600-35F05,,,,47000,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
